Relevance;Url;Title;3/11/2015;3/12/2015;3/23/2015;3/24/2015;3/25/2015;3/28/2015;3/30/2015;4/5/2015;4/8/2015;4/10/2015;;
5;http://www.localeats.com/q/atlanta-ga-restaurants/;Best Restaurants in atlanta ga - LocalEats;48;49;48;48;48;51;51;44;40;51;51;
5;http://www.atlantamagazine.com/50bestrestaurants/;50 Best Restaurants - Atlanta Magazine;47;48;46;47;47;50;50;0;49;0;49;
5;http://www.yelp.com/c/atlanta/restaurants;Atlanta » Restaurants - Yelp;46;47;47;46;46;49;49;50;50;0;50;
5;http://www.atlanta.net/dining/;Atlanta Restaurants - Atlanta Convention & Visitors Bureau;45;45;45;45;45;47;48;0;48;0;48;
1;https://www.google.com/maps/d/edit?mid=z3qurvhusxbE.kBSGzIiYoZSY&msa=0;Local Restaurants - Google;44;44;43;43;43;45;46;51;46;0;45;
4;http://www.urbanspoon.com/c/9/Atlanta-restaurants.html;Atlanta Restaurants | Urbanspoon;43;43;44;44;44;46;47;0;0;0;;
5;http://tasteofatlanta.com/restaurants.php;Atlanta Restaurants | Food Lovers | Taste of Atlanta;42;42;40;0;0;0;40;0;0;0;;
2;https://www.grubhub.com/;GrubHub: Food Delivery | Restaurant Takeout | Order Food ...;41;41;41;42;41;44;45;45;47;0;47;
1;http://www.rockdalecitizen.com/news/2015/mar/07/covington-police-investigates-car-break-ins-at/;Covington Police investigate car break-ins at local ... - Conyers;40;40;0;0;0;0;0;0;0;0;;
2;https://www.restaurants.com/;Restaurants Guide | Restaurants Coupons | Local ...;39;39;38;38;40;40;39;38;39;0;40;
2;http://www.restaurant.com/;Restaurant.com | Restaurant Reviews, Coupons and Deals;38;38;39;39;39;39;38;37;40;0;0;
4;http://www.groupon.com/local/restaurants;Restaurants - Deals & Coupons | Groupon;37;37;35;40;29;33;31;0;36;0;26;
2;http://www.foodnetwork.com/restaurants.html;Restaurants : Food Network;36;35;33;34;34;34;33;35;35;0;35;
1;http://www.visitmusiccity.com/visitors/food/uniquelynashvillefood;Uniquely Nashville Local Restaurants in Nashville, TN | Visit ...;35;34;34;35;36;35;35;21;27;0;37;
2;http://www.couponsherpa.com/printable-coupons/category/restaurant/;Restaurant Coupons: Print Coupons for Local Restaurants;34;33;32;33;33;32;32;0;30;0;28;
1;http://www.localrestaurantweek.com/contact.cfm;Contact Us - Buffalo - Local Restaurant Week;33;29;0;0;0;0;0;0;0;0;;
1;http://www.localrestaurantweek.com/restaurant_profile8ce2.html?id=1353775&city=&time=&token=29363638898;Butterwood Sweet & Savory - Buffalo - Local Restaurant Week;32;0;0;0;0;0;0;0;0;0;;
1;http://www.shawneemt.com/trip-planning/area_restaurants.html;Local Restaurants - Shawnee on Delaware - Shawnee ...;31;27;0;0;0;0;0;0;0;0;;
1;http://www.madisonoriginals.com/restaurants/;Local Restaurants - Madison - Madison Originals;30;25;22;0;0;0;0;0;0;0;;
1;http://www.portsmouthnh.com/dining/;Portsmouth NH restaurants, Kittery ME, the Seacoast;29;23;0;0;0;0;0;0;0;0;;
1;http://www.durham-nc.com/restaurants/;Restaurants - Durham - Durham;28;22;28;26;28;28;29;19;0;0;;
1;http://www.tripadvisor.com/Restaurants-g34088-Boca_Raton_Florida.html;Best Restaurants in Boca Raton, FL - TripAdvisor;27;24;0;0;0;0;0;0;0;0;;
1;http://www.tripadvisor.com/Restaurants-g60798-Gettysburg_Pennsylvania.html;Best Restaurants in Gettysburg, PA - TripAdvisor;26;0;0;0;0;0;0;0;31;0;0;
1;http://www.visitlex.com/restaurants/;Restaurants in Lexington, KY: Horse Capital of the World;25;21;0;0;0;0;0;0;0;5;0;
1;http://www.edibleaustin.com/index.php/where-to-eat-in-central-texas;Locally Sourcing Restaurants - Austin - Edible Austin;24;16;26;24;24;27;0;24;9;17;13;
1;http://www.goprovidence.com/rw/local-121-restaurant/;Local 121 Restaurant | Providence Restaurants Weeks;23;20;0;21;20;22;23;23;3;9;0;
1;http://washington.org/topics/restaurants-food-wine;Restaurants, Food & Wine | washington.org;22;19;0;0;0;0;0;0;0;0;;
1;http://louisvilleoriginals.com/;Louisville Originals | Independently-Owned Restaurants in ...;21;18;0;0;0;0;0;0;0;0;;
1;http://www.aotourism.com/Dining/;AO Tourism | Dining - Auburn;20;17;2;0;5;5;4;12;1;6;0;
1;http://www.godowntownraleigh.com/explore/dining;Explore Here :: Restaurants & Dining :: Downtown Raleigh;19;15;19;19;21;20;25;25;30;19;18;
1;http://blog.chron.com/bayoucityhistory/2015/03/local-restaurants-serving-horse-meat-this-forgotten-day-in-houston/;Local Restaurants Serving Horse Meat? – This Forgotten ...;18;0;0;0;0;0;0;0;0;0;;
1;http://www.menupages.com/restaurants/all-areas/all-neighborhoods/local-organic/;Local/Organic Restaurants - New York City, Menus, Ratings ...;17;14;0;0;0;0;0;0;0;11;0;
1;http://crystalcity.hyatt.com/en/hotel/dining/local-dining.html;Local Dining - Arlington - Hyatt Regency Crystal City;16;12;0;0;0;0;0;0;0;0;;
1;http://www.kcoriginals.com/;Kansas City Originals | Independently-Owned Restaurants ...;15;10;0;8;11;6;1;0;0;0;;
1;http://www.minneapolis.org/visitor/food-wine;Food and Wine Minneapolis | Restaurants in Minneapolis;14;9;5;2;9;12;9;0;1;0;0;
1;http://www.southernliving.com/travel/south-east/culinary-tour-of-restaurants-in-savannah/savannah-restaurants-local-11-ten;Savannah Restaurants: Local 11 Ten - Restaurants in ...;13;8;0;0;0;0;0;0;12;0;19;
1;http://www.bouldercoloradousa.com/visitor/restaurants/;Boulder Restaurants | Select a Restaurant by Category;12;7;24;12;13;14;14;22;15;8;14;9
1;http://www.mcdonalds.com/us/en/restaurant_locator.html;Restaurant Locator :: McDonalds.com;11;11;16;18;18;13;16;23;16;13;7;
1;http://www.fargomoorhead.org/restaurants-overview.html;Restaurants - Fargo - Fargo-Moorhead Convention and ...;10;4;11;6;10;11;12;5;10;0;2;
1;http://www.nhfarmtorestaurant.com/restaurant-certified-local-progra/certified-restaurants/;CERTIFIED RESTAURANTS — NH Farm to Restaurant ...;9;5;0;0;0;0;0;0;0;0;;
1;http://highcountryhost.com/dining/;Places to Eat NC High Country Dining Restaurants;8;2;0;0;0;0;0;28;18;3;0;
1;http://www.hartford.com/restaurants/;Hartford.com | Restaurants;7;3;0;0;0;0;0;0;0;0;;
1;http://www.urbanfarmonline.com/sustainable-living/urban-farm-resources/local-food-restaurants/local-food-restaurants.aspx;Local-food Restaurants - Urban Farm Online;6;1;6;3;6;4;0;0;0;0;;
1;http://www.thelocalboone.com/;The Local Boone NC Restaurants;5;0;30;27;26;2;3;0;7;0;1;
1;http://www.lawrence.com/restaurants/;Restaurants | Lawrence.com;4;0;0;0;0;0;0;0;0;0;;
1;http://www.holland.org/dining/;Restaurants - Holland - Holland Michigan;3;0;0;14;14;17;17;0;0;0;;
1;http://kcfoodcircle.org/restaurants/;Restaurants - Kansas City Food Circle;2;0;1;0;2;7;8;25;10;16;8;
1;http://www.inquisitr.com/1865735/critically-endangered-pangolins-were-rescued-than-sold-as-food-to-local-restaurants/;Critically Endangered Pangolins Were Rescued, Then Sold ...;1;0;0;0;0;0;0;6;0;0;;
2;http://www.localthree.com/;Local Three Kitchen & Bar;0;46;0;0;0;48;0;0;0;0;;
1;http://www.visitathensga.com/restaurants/;Athens Georgia Restaurants and Dining Guide - Visit Athens;0;36;37;37;38;38;37;0;37;0;39;
1;http://www.newsplex.com/home/headlines/Local-Restaurants-Host-For-UVa-Basketball-296128011.html;Local Restaurants Host For UVa Basketball - Newsplex;0;32;0;0;0;0;0;0;0;0;;
1;http://www.bellevuedowntown.com/blogs/bellevue-local-table-blog;Bellevue Local Table Blog - Bellevue Downtown Association;0;31;0;0;0;0;0;0;0;0;;
1;http://localrestaurantweek.com/restaurant_profile7efb.html;Pizza Plant - Buffalo - Local Restaurant Week;0;30;31;0;0;0;0;0;0;0;;
1;http://localrestaurantweek.com/restaurant_profilee0e1.html?id=318940&city=&time=&token=13503111170;Buffalo Chophouse - Local Restaurant Week;0;28;0;0;0;0;0;0;0;0;;
1;http://www.bizjournals.com/philadelphia/news/2015/03/12/25-local-restaurants-under-review-for-disability.html;25 local restaurants under review for disabilities compliance ...;0;26;0;0;0;0;0;0;0;0;;
1;http://www.wgrz.com/story/life/2015/03/08/restaurant-week-starts-monday/24625425/;Local Restaurant Week Begins - Buffalo - WGRZ.com;0;13;0;0;0;0;0;0;0;0;;
1;http://www.sonomacounty.com/sonoma-listings/restaurants;Restaurants | Sonoma County (Official Site);0;6;13;9;12;16;13;26;17;15;12;
4;http://www.11alive.com/story/news/local/2015/03/12/atlanta-best-fried-chicken/70245772/;Three local restaurants make 'Best Fried Chicken' list - 11Alive;0;0;42;41;42;0;44;39;44;0;44;
1;http://www.henryherald.com/news/2015/mar/10/local-restaurants-bars-hosting-st-patrick8217s/;Local restaurants, bars hosting St. Patrick's Day celebrations ...;0;0;36;36;37;37;36;36;0;0;;
1;http://www.exploreasheville.com/restaurants/;Asheville Restaurants and Dining - Explore Asheville;0;0;29;28;30;24;21;19;38;0;36;
1;http://www.thelocalrestaurantandbar.com/;The Local Restaurant and Bar - Local~Seasonal~Sustainable;0;0;27;25;25;0;0;0;2;0;0;
1;http://www.lehighvalleylive.com/food/index.ssf/2015/03/national_puppy_day_these_local.html;National Puppy Day: These local restaurants offer secret ...;0;0;25;20;0;0;0;0;0;0;;
1;http://www.visitbloomington.com/visitors/restaurants/;Bloomington Restaurants | Dining Guide, Photos & Maps;0;0;23;23;7;9;7;13;4;11;3;
1;http://fox13now.com/2015/03/21/local-restaurants-a-hive-of-activity-as-utah-competes-in-ncaa-tournament/;Local restaurants a hive of activity as Utah competes in ...;0;0;21;22;0;0;0;0;0;0;;
1;https://www.portsmouthnh.com/dining/;Portsmouth NH restaurants, Kittery ME, the Seacoast;0;0;18;17;17;8;6;11;0;0;;
1;http://www.nolalocavore.org/restaurants/;Participating Restaurants | Eat Local Challenge 2015;0;0;17;15;19;22;19;22;20;0;0;
1;http://www.chron.com/news/houston-texas/article/Local-restaurants-serving-horse-meat-6123386.php;Local restaurants serving horse meat? - Houston Chronicle;0;0;15;7;0;0;0;0;0;0;;
1;http://www.eatlocalcincy.com/;Eat Local Cincy | Independently-Owned Restaurants in ...;0;0;14;11;0;0;0;0;0;0;;
1;http://www.vice.com/read/vietnamese-authorities-sold-a-bunch-of-endangered-animals-to-local-restaurants-168;Vietnamese Authorities Sold a Bunch of Adorable ... - Vice;0;0;12;13;0;20;0;0;8;0;10;
1;http://www.visitaggieland.com/restaurants/restaurant-guide/;Restaurant Guide for Bryan College Station, Texas;0;0;10;5;8;10;11;0;0;0;;
1;http://www.visitrapidcity.com/dining;Restaurants in Rapid City, South Dakota;0;0;9;0;4;1;5;34;34;0;34;
1;https://www.localdines.com/southflorida/location/Find-Restaurants-West-Palm-Beach;West Palm Beach - Local Dines | Local Restaurant Deals in ...;0;0;8;10;0;0;0;7;0;14;0;
1;http://www.anotherbrokenegg.com/locations/search;Another Broken Egg Locations | Local restaurants located ...;0;0;7;0;0;0;0;0;0;0;;
1;http://www.springfieldmo.org/dining/c/locally-owned;Locally Owned - Springfield Missouri Travel & Tourism;0;0;4;1;0;0;0;0;0;0;;
1;http://www.localpgh.com/;Local Bar + Kitchen: Pittsburgh's Best Bars and Restaurants;0;0;3;4;23;26;27;0;0;0;;
1;http://www.localrestaurantweek.com/restaurant_profile5289.html?id=753042&city=&time=&token=21440375220;Orazio's Restaurant - Buffalo - Restaurants | Local ...;0;0;0;32;31;0;0;0;0;0;;
1;http://www.tripadvisor.com/Restaurants-g40790-Ogunquit_Maine.html;Best Restaurants in Ogunquit, ME - TripAdvisor;0;0;0;31;32;29;30;0;29;0;32;
1;http://www.wwltv.com/story/news/2015/03/24/local-chefs-restaurants-advance-in-james-beard-contest/70372098/;Local chefs, restaurants advance in James Beard ... - New ...;0;0;0;30;0;0;0;0;0;0;;
1;http://www.localrestaurantweek.com/restaurant_profilecd9c.html?id=319665&city=&time=&token=13519660784;Seabar - Buffalo - Local Restaurant Week;0;0;0;29;0;0;24;0;33;0;0;
1;http://www.daytonlocal.com/restaurants.asp;Dayton Ohio Restaurants - Dayton Local;0;0;0;16;16;15;15;0;0;0;;
1;http://www.chattanoogafun.com/dining;Chattanooga Restaurants - Where to eat in Chattanooga;0;0;0;0;35;36;34;0;0;0;;
1;http://www.austintexas.org/visit/eat/;Austin Restaurants and Dining | Explore Fine Cuisine and ...;0;0;0;0;27;0;0;27;20;0;23;
1;http://www.seemonterey.com/food-wine/restaurants/;Monterey Restaurants | Mexican, California Cuisine ...;0;0;0;0;15;21;18;18;0;0;;
1;http://www.syracuse.com/restaurants/;Restaurants in Syracuse & Central NY – syracuse.com;0;0;0;0;3;0;10;0;0;22;0;
1;http://www.aps.anl.gov/About/Visiting/Restaurants/;Local restaurants - Advanced Photon Source - Argonne ...;0;0;0;0;1;0;0;0;0;0;;
1;http://www.entrepreneur.com/article/73384;How to Start a Restaurant;0;0;0;0;0;43;43;43;43;0;43;
1;http://www.5280.com/magazine/2013/10/25-best-restaurants?page=full;25 Best Restaurants 2013 | 5280;0;0;0;0;0;42;42;42;42;0;42;
1;http://mashable.com/2011/08/29/facebook-marketing-restaurants/;13 Best Practices for Restaurants on Facebook;0;0;0;0;0;41;41;41;41;0;41;
1;http://www.bizjournals.com/phoenix/blog/prime_cuts/2015/03/diamondbacks-fill-home-plate-with-local.html?page=all;Diamondbacks fill home plate with local restaurants - The ...;0;0;0;0;0;31;0;0;0;0;;
1;http://localrestaurantweek.com/restaurant_profile4d87.html;Restaurants | Local Restaurant Week 2015 - www ... - Buffalo;0;0;0;0;0;30;0;0;0;0;;
1;http://www.parkcityrestaurants.com/;Park City Area Restaurant Association: Visit Park City, UT;0;0;0;0;0;3;2;0;0;0;;
