Relevance;Url;Title;03/11/2015;03/12/2015;03/23/2015;03/24/2015;03/25/2015;03/28/2015;03/30/2015;04/05/2015;
;http://www.localeats.com/q/atlanta-ga-restaurants/;Best Restaurants in atlanta ga - LocalEats;47;48;48;48;48;50;51;44;
;http://www.atlantamagazine.com/50bestrestaurants/;50 Best Restaurants - Atlanta Magazine;46;47;46;47;47;49;50;0;
;http://www.yelp.com/c/atlanta/restaurants;Atlanta » Restaurants - Yelp;45;46;47;46;46;48;49;50;
;http://www.atlanta.net/dining/;Atlanta Restaurants - Atlanta Convention & Visitors Bureau;44;45;45;45;45;47;48;0;
;https://www.google.com/maps/d/edit?mid=z3qurvhusxbE.kBSGzIiYoZSY&msa=0;Local Restaurants - Google;43;44;43;43;42;45;46;51;
;http://www.urbanspoon.com/c/9/Atlanta-restaurants.html;Atlanta Restaurants | Urbanspoon;42;43;44;44;44;46;47;0;
;https://www.grubhub.com/;GrubHub: Food Delivery | Restaurant Takeout | Order Food ...;41;41;41;42;41;44;45;45;
;http://www.rockdalecitizen.com/news/2015/mar/07/covington-police-investigates-car-break-ins-at/;Covington Police investigate car break-ins at local ... - Conyers;40;40;0;0;0;0;0;35;
;https://www.restaurants.com/;Restaurants Guide | Restaurants Coupons | Local ...;39;39;38;37;39;38;38;38;
;http://www.restaurant.com/;Restaurant.com | Restaurant Reviews, Coupons and Deals;38;38;39;38;38;37;37;36;
;http://www.groupon.com/local/restaurants;Restaurants - Deals & Coupons | Groupon;37;37;35;39;28;31;30;34;
;http://www.foodnetwork.com/restaurants.html;Restaurants : Food Network;36;35;33;33;33;32;32;33;
;http://www.visitmusiccity.com/visitors/food/uniquelynashvillefood;Uniquely Nashville Local Restaurants in Nashville, TN | Visit ...;35;34;34;34;35;33;34;32;
;http://www.couponsherpa.com/printable-coupons/category/restaurant/;Restaurant Coupons: Print Coupons for Local Restaurants;34;33;32;32;32;30;31;30;
;http://www.localrestaurantweek.com/contact.cfm;Contact Us - Buffalo - Local Restaurant Week;33;28;0;0;0;0;0;0;
;http://www.localrestaurantweek.com/restaurant_profile8ce2.html?id=1353775&city=&time=&token=29363638898;Butterwood Sweet & Savory - Buffalo - Local Restaurant Week;32;0;0;0;0;0;0;0;
;http://www.shawneemt.com/trip-planning/area_restaurants.html;Local Restaurants - Shawnee on Delaware - Shawnee ...;31;26;0;0;0;0;0;0;
;http://www.madisonoriginals.com/restaurants/;Local Restaurants - Madison - Madison Originals;30;25;22;0;0;0;0;0;
;http://www.portsmouthnh.com/dining/;Portsmouth NH restaurants, Kittery ME, the Seacoast;29;23;0;0;0;0;0;0;
;http://www.durham-nc.com/restaurants/;Restaurants - Durham - Durham;28;22;28;26;27;26;28;18;
