Relevance;Url;Title;02/21/2015;02/22/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015;03/27/2015;03/28/2015 A;03/29/2015 A;03/30/2015;03/31/2015;04/01/2015
5;http://www.localconditions.com/weather-alpharetta-georgia/30009/traffic.php;Alpharetta Traffic and Road Conditions - LocalConditions.com;48;48;0;48;0;0;0;0;48;0;0;0;0;49;0;0;0;0;48;48;48;0;0;0;0;0;0;0;0;0;0
5;https://www.here.com/traffic;Traffic.com - Here;47;45;45;46;48;47;47;46;45;46;47;47;0;0;0;0;0;0;0;46;46;46;46;46;0;50;0;49;49;49;49
4;http://weather.weatherbug.com/GA/Alpharetta-weather/Alpharetta-traffic.html;Alpharetta, GA Traffic Cameras - WeatherBug.com;46;47;47;47;0;0;0;0;46;0;0;0;0;48;47;0;0;0;46;47;47;0;0;0;0;0;0;0;0;0;0
2;http://www.bestplaces.net/backfence/viewcomment.aspx?id=3143C619-2731-454B-9F0A-FE293ABE364F&city=Alpharetta_GA;Beautiful city but AWFUL traffic! - Alpharetta - Sperling's Best ...;45;44;44;43;0;0;0;0;42;0;0;0;0;46;46;0;0;0;42;42;42;0;0;0;0;0;0;0;0;0;0
3;http://alpharetta.ga.us/index.php?p=145;City of Alpharetta Website || Traffic Information;44;46;46;44;0;0;0;0;44;0;0;0;0;47;45;0;0;0;45;45;45;0;0;0;0;0;0;0;0;0;0
5;http://www.wsbtv.com/s/traffic/;Atlanta Traffic and Road Conditions | Live Traffic Cams ...;43;43;42;45;49;48;48;48;47;48;48;48;49;43;42;48;48;48;44;44;44;48;48;48;51;51;48;48;51;51;0
5;http://patch.com/georgia/alpharetta/real-time-traffic-information-goes-live-for-alpharett211a7f523e;Check Here for a Live Traffic Update | Alpharetta-Milton, GA ...;42;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.imdb.com/title/tt0181865/;Traffic (2000) - IMDb;41;41;41;41;43;42;42;43;41;43;42;42;43;42;41;43;43;42;41;41;41;43;43;43;46;46;46;46;46;46;44
3;http://www.wsbradio.com/s/traffic/;Atlanta Traffic from the 24-hour WSB Traffic Center | www ...;40;40;40;40;47;46;46;47;39;47;46;46;48;40;39;47;47;46;39;40;39;47;47;47;49;49;44;45;50;50;50
1;http://en.wikipedia.org/wiki/Traffic_%28band%29;Traffic (band) - Wikipedia, the free encyclopedia;39;39;39;39;40;40;40;40;40;40;39;39;40;41;40;40;41;38;40;39;40;39;39;38;38;39;45;44;38;39;39
1;http://en.wikipedia.org/wiki/Traffic;Traffic - Wikipedia, the free encyclopedia;38;37;37;37;39;39;0;0;0;0;37;37;38;0;0;0;0;36;0;38;0;38;38;37;37;38;0;0;37;38;38
1;http://en.wikipedia.org/wiki/Traffic_%282000_film%29;Traffic (2000 film) - Wikipedia, the free encyclopedia;37;38;38;38;0;0;0;0;0;0;38;38;39;0;0;0;0;37;0;37;0;37;37;0;36;37;0;0;36;37;37
3;http://www.traffic.org/;TRAFFIC - Wildlife Trade News;36;36;36;36;42;41;41;41;38;42;41;41;42;39;38;42;42;41;38;36;38;42;42;42;45;45;39;39;45;45;45
3;http://www.mapquest.com/traffic/;Traffic - MapQuest;35;35;35;35;41;38;39;39;37;41;36;36;37;37;36;39;40;39;37;34;37;40;40;39;40;40;38;38;40;40;40
3;http://wtop.com/traffic/;Traffic - WTOP;34;34;34;34;37;37;38;38;36;39;40;40;41;38;37;41;39;34;36;33;36;36;36;40;39;36;37;37;39;36;0
3;http://www.amazon.com/Traffic-Drive-What-Says-About/dp/0307277194;Traffic - Amazon.com;33;33;33;33;36;36;37;37;35;38;35;35;36;36;35;38;38;35;35;32;35;35;35;36;35;35;36;36;35;35;35
2;http://www.whas11.com/traffic/;WHAS11.com | Louisville Traffic, Road Conditions ...;32;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;0;0;23;22;23;22;22;25;20;14;10;14;12;33;8
3;http://www.flhsmv.gov/fhp/traffic/crs_h506.htm;Florida Highway Patrol - Traffic;31;23;12;16;16;14;0;18;20;22;0;0;0;0;0;28;0;0;30;27;27;0;0;0;22;22;33;25;29;0;0
3;http://www.wfmz.com/traffic;WFMZ Traffic | Cams, Reports, Incidents, Accidents ...;30;0;2;8;30;0;0;0;0;0;0;0;0;31;31;34;36;11;15;0;0;0;12;27;24;24;27;28;26;0;0
