Relevance;Url;Title;02/21/2015;02/22/2015;02/24/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015;03/27/2015;03/28/2015 A;03/29/2015 A;03/30/2015;03/31/2015
5;http://www.weather.gov/;National Weather Service;45;45;0;45;0;37;30;45;45;45;45;44;45;44;44;45;45;45;45;44;44;45;25;45;45;44;44;46;49;0;48;46;49;75
5;http://www.wunderground.com/;Weather Underground: Weather Forecast & Reports - Long ...;44;44;0;43;44;36;29;44;44;44;44;45;44;45;45;44;44;44;44;45;45;46;24;44;44;43;0;45;48;48;47;48;48;76
5;http://www.accuweather.com/en/us/alpharetta-ga/30009/weather-forecast/332559;Alpharetta Weather - AccuWeather Forecast for GA 30009;43;43;0;44;0;0;28;43;0;0;0;43;43;0;0;0;0;0;0;0;0;0;23;43;43;0;0;0;0;0;0;0;0;0
4;https://weather.yahoo.com/;Yahoo Weather - Weather Forecasts | Maps | News;42;42;0;42;42;34;27;42;42;41;42;42;42;42;42;42;42;42;42;41;42;42;22;42;42;42;42;42;45;45;40;40;45;73
4;http://www.intellicast.com/;Intellicast - Local and National Weather Forecast, Radar ...;41;41;0;41;41;32;26;41;40;39;41;41;41;40;40;40;40;39;39;39;40;40;21;41;41;40;40;41;44;44;39;39;44;72
4;http://www.cnn.com/weather;Weather - CNN.com;40;40;38;40;38;30;0;39;39;38;38;39;38;39;39;39;39;38;38;38;39;39;0;40;40;39;39;39;39;39;38;38;39;67
4;http://www.noaa.gov/wx.html;Weather - NOAA;39;39;37;39;37;29;0;38;38;37;37;37;37;38;38;38;38;37;37;37;38;37;0;39;38;37;38;38;38;38;37;37;37;65
3;http://www.noaa.gov/;NOAA - National Oceanic and Atmospheric Administration;38;38;36;38;36;28;25;37;37;36;36;0;36;37;37;37;37;36;36;36;37;36;0;38;37;36;37;37;37;37;0;0;36;64
4;http://weather.weatherbug.com/;WeatherBug.com: Local and National Weather Conditions ...;37;37;35;36;35;27;0;36;36;35;35;36;35;36;36;36;36;35;35;35;36;38;0;37;39;38;36;36;36;36;36;36;38;66
5;http://www.wsbtv.com/s/weather/;Metro Atlanta weather forecast and radar | www.wsbtv.com;36;36;40;37;40;33;0;40;41;40;40;40;40;41;41;41;41;23;24;40;41;41;0;26;24;41;41;40;40;40;34;2;40;68
3;https://www.aviationweather.gov/;Aviation Weather Center: AWC;35;35;34;35;34;26;0;35;35;34;34;35;34;35;35;35;34;34;34;33;35;35;0;36;36;35;35;35;35;35;35;35;35;63
2;http://www.bbc.com/weather/;BBC Weather;34;34;33;34;33;25;24;34;34;33;32;34;33;34;34;34;33;33;33;32;34;34;20;35;35;34;34;34;34;34;33;34;34;62
2;https://play.google.com/store/apps/details?id=com.macropinch.swan&hl=en;Weather - Android Apps on Google Play;33;32;32;0;29;24;23;29;27;0;0;0;25;31;29;30;32;32;32;31;33;33;18;34;34;33;0;33;33;33;32;33;33;59
2;http://en.wikipedia.org/wiki/Weather;Weather - Wikipedia, the free encyclopedia;32;31;31;31;32;23;21;32;29;29;28;31;31;33;33;33;31;31;31;30;32;32;17;33;33;32;32;32;32;32;31;32;32;60
4;http://www.usatoday.com/weather/;US and National Weather Forecasts - USATODAY.com;31;33;30;32;31;20;20;30;28;27;29;30;29;32;30;29;28;29;30;27;31;31;19;30;31;29;30;30;29;30;29;30;29;20
2;http://www.kvue.com/weather/;kvue.com | Austin Weather, Forecast, Conditions, Doppler ...;30;28;0;33;0;0;0;0;0;31;0;28;28;27;0;32;30;30;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.wbaltv.com/weather;Baltimore Weather News â Maryland Weather Updates ...;29;29;28;29;25;19;0;26;0;0;0;0;0;25;25;24;23;21;21;22;27;20;13;32;19;12;11;16;11;16;19;16;20;9
1;http://www.wfmz.com/weather;WFMZ Weather | Allentown, Bethlehem, Lehigh Valley ...;28;27;23;20;17;10;9;0;18;14;16;18;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
2;http://woodtv.com/category/weather/;Grand Rapids weather forecast | WOODTV.com;27;17;24;23;19;11;11;15;16;24;13;13;13;14;15;13;13;12;11;13;15;18;0;18;13;13;19;20;13;13;12;11;13;17
