Relevance;Url;Title;02/21/2015;02/22/2015;02/24/2015;02/25/2015;02/26/2015;02/27/2015;02/28/2015;03/01/2015;03/02/2015;03/04/2015;03/05/2015;03/06/2015;03/07/2015;03/10/2015;03/11/2015;03/12/2015;03/13/2015;03/14/2015 A;03/15/2015 A;03/16/2015;03/17/2015;03/18/2015;03/19/2015 A;03/21/2015 A;03/22/2015 A;03/23/2015;03/24/2015;03/25/2015;03/26/2015
5;http://www.weather.gov/;National Weather Service;45;45;45;45;0;45;45;45;45;45;45;44;45;44;44;45;45;45;45;44;44;45;30;45;45;44;44;46;49
5;http://www.wunderground.com/;Weather Underground: Weather Forecast & Reports - Long ...;44;44;44;43;44;44;44;44;44;44;44;45;44;45;45;44;44;44;44;45;45;46;29;44;44;43;0;45;48
5;http://www.accuweather.com/en/us/alpharetta-ga/30009/weather-forecast/332559;Alpharetta Weather - AccuWeather Forecast for GA 30009;43;43;0;44;0;0;43;43;0;0;0;43;43;0;0;0;0;0;0;0;0;0;28;43;43;0;0;0;0
4;https://weather.yahoo.com/;Yahoo Weather - Weather Forecasts | Maps | News;42;42;42;42;42;42;42;42;42;41;42;42;42;42;42;42;42;42;42;42;42;42;27;42;42;42;42;42;45
4;http://www.intellicast.com/;Intellicast - Local and National Weather Forecast, Radar ...;41;41;41;41;41;40;41;41;40;39;41;41;41;40;40;40;40;39;39;40;40;40;26;41;41;40;40;41;44
4;http://www.cnn.com/weather;Weather - CNN.com;40;40;38;40;38;38;39;39;39;38;38;39;38;39;39;39;39;38;38;39;39;39;0;40;40;39;39;39;39
4;http://www.noaa.gov/wx.html;Weather - NOAA;39;39;37;39;37;37;38;38;38;37;37;37;37;38;38;38;38;37;37;38;38;37;0;39;38;37;38;38;38
3;http://www.noaa.gov/;NOAA - National Oceanic and Atmospheric Administration;38;38;36;38;36;36;37;37;37;36;36;0;36;37;37;37;37;36;36;37;37;36;0;38;37;36;37;37;37
4;http://weather.weatherbug.com/;WeatherBug.com: Local and National Weather Conditions ...;37;37;35;36;35;35;36;36;36;35;35;36;35;36;36;36;36;35;35;36;36;38;0;37;39;38;36;36;36
5;http://www.wsbtv.com/s/weather/;Metro Atlanta weather forecast and radar | www.wsbtv.com;36;36;40;37;40;41;40;40;41;40;40;40;40;41;41;41;41;23;24;41;41;41;15;26;24;41;41;40;40
3;https://www.aviationweather.gov/;Aviation Weather Center: AWC;35;35;34;35;34;34;35;35;35;34;34;35;34;35;35;35;34;34;34;34;35;35;0;36;36;35;35;35;35
2;http://www.bbc.com/weather/;BBC Weather;34;34;33;34;33;33;34;34;34;33;32;34;33;34;34;34;33;33;33;33;34;34;25;35;35;34;34;34;34
2;https://play.google.com/store/apps/details?id=com.macropinch.swan&hl=en;Weather - Android Apps on Google Play;33;32;32;0;29;32;28;29;27;0;0;0;25;30;30;31;32;32;31;32;33;33;23;34;34;33;0;33;33
2;http://en.wikipedia.org/wiki/Weather;Weather - Wikipedia, the free encyclopedia;32;31;31;31;32;30;30;32;29;29;28;31;31;33;32;33;31;31;30;31;32;32;22;33;33;32;32;32;32
4;http://www.usatoday.com/weather/;US and National Weather Forecasts - USATODAY.com;31;33;30;32;31;28;29;30;28;27;29;29;29;31;33;30;28;29;32;28;31;31;24;30;31;29;30;30;29
2;http://www.kvue.com/weather/;kvue.com | Austin Weather, Forecast, Conditions, Doppler ...;30;28;0;33;0;0;0;0;0;31;0;26;28;27;0;0;30;30;29;0;0;0;0;0;0;0;0;0;0
2;http://www.wbaltv.com/weather;Baltimore Weather News â Maryland Weather Updates ...;29;29;28;29;25;27;32;26;0;0;0;0;0;24;26;26;23;21;21;23;27;20;12;32;19;12;11;16;11
1;http://www.wfmz.com/weather;WFMZ Weather | Allentown, Bethlehem, Lehigh Valley ...;28;27;23;20;17;13;12;0;18;14;16;13;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;http://www.edheads.org/activities/weather/;Edheads - Weather Activities - Temperature Converter - Kids ...;27;26;26;26;23;21;24;22;23;25;25;25;24;22;23;24;21;20;20;24;26;29;21;29;28;26;28;28;25
2;http://www.msn.com/en-us/weather;Mountain View, CA - MSN Weather - MSN.com;26;25;25;25;22;19;20;21;21;23;24;24;20;21;21;20;17;16;16;17;19;27;18;31;32;30;31;31;30
3;http://www.chicagotribune.com/news/weather/;Weather - Chicago Tribune;25;19;20;21;24;23;14;14;9;10;7;11;12;9;13;16;11;11;12;14;14;16;0;19;18;21;26;26;19
2;http://www.13abc.com/weather;Toledo Weather - 13abc.com Toledo (OH) News, Weather ...;24;23;15;12;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;http://www.weatherwizkids.com/;Weather Wiz Kids weather information for kids;23;21;21;22;20;20;22;24;25;21;21;23;21;20;22;23;19;18;18;21;21;28;20;28;30;27;29;29;26
2;http://woodtv.com/category/weather/;Grand Rapids weather forecast | WOODTV.com;22;17;24;23;19;14;19;15;16;24;13;15;13;12;15;14;13;12;11;13;15;18;0;0;13;13;19;20;13
3;http://www.azfamily.com/weather/;azfamily.com | Phoenix 3TV Weather, Doppler Radar ...;21;20;19;24;21;22;23;23;22;22;23;22;22;19;20;22;20;19;19;22;23;0;0;0;0;0;0;0;0
3;http://www.10tv.com/content/sections/weather/;Doppler 10 Weather - Columbus - WBNS /10tv.com;20;24;22;14;13;18;8;8;10;20;18;9;7;10;14;8;10;5;1;4;6;0;0;4;0;2;0;0;0
3;http://www.wmur.com/weather;Weather - WMUR.com;19;18;17;15;10;7;2;4;17;9;1;0;1;2;0;15;15;15;15;18;22;0;0;0;0;0;0;0;0
3;http://fox4kc.com/weather/;Kansas City Weather by fox4kc.com â WDAF Television ...;18;6;14;16;16;15;17;16;15;5;4;7;9;0;2;0;0;0;0;0;0;10;7;14;10;5;9;2;1
3;http://www.wthr.com/weather;Weather - Indianapolis - WTHR.com;17;9;8;6;5;8;11;17;19;11;11;12;16;11;10;11;3;4;6;8;12;14;9;20;15;15;20;17;14
3;http://www.whio.com/s/weather/;Dayton Weather | Forecast, Current Conditions & Radar ...;16;15;12;8;15;12;18;19;20;18;20;8;11;17;11;0;7;7;7;9;10;9;0;0;2;0;0;0;0
3;http://www.ksl.com/?nid=88;KSL Weather Center | KSL.com;15;14;4;13;12;2;3;9;8;16;8;10;17;14;9;19;16;13;14;16;18;25;16;27;27;25;24;24;23
2;http://www.kcrg.com/weather/;KCRG-TV9 | Cedar Rapids, Iowa News, Sports, and Weather;14;8;16;19;18;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291477-8696;Weather - Wiley Online Library;13;13;13;10;11;9;10;10;12;7;9;16;14;13;17;18;14;14;13;15;16;22;11;23;23;22;22;23;22
3;http://fox8.com/weather/;Weather | fox8.com - Cleveland;12;16;18;17;14;11;7;5;5;4;6;5;5;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0
2;http://www.kcci.com/weather;Des Moines Weather News â Iowa Weather Updates â KCCI ...;11;12;3;27;28;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;13;22;21;24;27;0;0
3;http://www.timeanddate.com/weather/;World Temperatures â Weather Around The World;10;10;10;9;7;6;5;7;2;6;5;6;8;8;8;12;6;8;9;11;13;17;0;24;22;18;18;21;17
1;http://www.spaceweather.com/;SpaceWeather.com -- News and information about meteor ...;9;7;0;11;0;4;4;0;6;1;0;2;0;3;5;13;5;0;0;5;9;21;0;17;0;0;13;15;12
3;http://www.nbcphiladelphia.com/weather/;Philadelphia Weather, Forecast, Maps and Doppler Radar ...;8;11;0;3;0;0;0;0;3;0;3;0;0;1;4;9;2;0;0;1;3;0;0;0;0;0;0;0;0
3;http://www.wcvb.com/weather;Weather - WCVB.com;7;3;0;0;0;26;26;27;32;28;30;32;32;23;25;25;22;22;22;29;30;0;0;0;0;0;0;0;0
2;http://www.ketv.com/weather;Weather - Omaha - KETV.com;6;0;11;18;27;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;12;14;6;3;13;9
2;http://www.channel3000.com/weather;Madison Weather - Forecast Radar, Madison School ...;5;4;7;5;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0
3;http://www.baynews9.com/Weather.html;Tampa Weather | Klystron 9, Radar, Weather on the Nines;4;2;1;4;3;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;4;2;1;0;4;5;1;2
1;http://weather.unisys.com/;Unisys Weather;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;6;0;1;0;2;8;5;0;13;7;8;6;5;7
2;http://www.wyff4.com/weather;Weather - Greenville - WYFF 4.com;2;0;5;7;9;0;0;0;33;0;33;0;27;29;29;0;27;27;28;26;24;26;19;0;29;28;21;0;21
3;http://wnep.com/weather/;WNEP Weather | WNEP.com;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
